Stadium,Toss,Team,Runs,Extras,Wickets_lost,Overs_played,Wickets_taken,Overs_bowled,Result
MA Chidambaram Stadium,win,Royal Challengers Bengaluru Innings,173,13,6,20,4,18,lost
MA Chidambaram Stadium,lost,Chennai Super Kings Innings,176,16,4,18,6,20,win
Maharaja Yadavindra Singh International Cricket Stadium,lost,Delhi Capitals Innings,174,10,9,20,6,19,lost
Maharaja Yadavindra Singh International Cricket Stadium,win,Punjab Kings Innings,177,8,6,19,9,20,win
Eden Gardens,lost,Kolkata Knight Riders Innings,208,8,7,20,7,20,win
Eden Gardens,win,Sunrisers Hyderabad Innings,204,7,7,20,7,20,lost
Sawai Mansingh Stadium,win,Rajasthan Royals Innings,193,8,4,20,6,20,win
Sawai Mansingh Stadium,lost,Lucknow Super Giants Innings,173,14,6,20,4,20,lost
Narendra Modi Stadium,lost,Gujarat Titans Innings,168,12,6,20,9,20,win
Narendra Modi Stadium,win,Mumbai Indians Innings,162,3,9,20,6,20,lost
M.Chinnaswamy Stadium,lost,Punjab Kings Innings,176,8,6,20,6,19,lost
M.Chinnaswamy Stadium,win,Royal Challengers Bengaluru Innings,178,18,6,19,6,20,win
MA Chidambaram Stadium,lost,Chennai Super Kings Innings,206,6,6,20,8,20,win
MA Chidambaram Stadium,win,Gujarat Titans Innings,143,11,8,20,6,20,lost
Rajiv Gandhi International Stadium,lost,Sunrisers Hyderabad Innings,277,19,3,20,5,20,win
Rajiv Gandhi International Stadium,win,Mumbai Indians Innings,246,11,5,20,3,20,lost
Sawai Mansingh Stadium,lost,Rajasthan Royals Innings,185,7,5,20,5,20,win
Sawai Mansingh Stadium,win,Delhi Capitals Innings,173,5,5,20,5,20,lost
M.Chinnaswamy Stadium,lost,Royal Challengers Bengaluru Innings,182,4,6,20,3,16,lost
M.Chinnaswamy Stadium,win,Kolkata Knight Riders Innings,186,15,3,16,6,20,win
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,win,Lucknow Super Giants Innings,199,7,8,20,5,20,win
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,lost,Punjab Kings Innings,178,4,5,20,8,20,lost
Narendra Modi Stadium,win,Sunrisers Hyderabad Innings,162,4,8,20,3,19,lost
Narendra Modi Stadium,lost,Gujarat Titans Innings,168,4,3,19,8,20,win
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,win,Delhi Capitals Innings,191,11,5,20,6,20,win
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,Chennai Super Kings Innings,171,13,6,20,5,20,lost
Wankhede Stadium,lost,Mumbai Indians Innings,125,7,9,20,4,15,lost
Wankhede Stadium,win,Rajasthan Royals Innings,127,14,4,15,9,20,win
M.Chinnaswamy Stadium,lost,Lucknow Super Giants Innings,181,10,5,20,1,1,win
M.Chinnaswamy Stadium,win,Royal Challengers Bengaluru Innings,153,11,1,1,5,20,lost
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,win,Kolkata Knight Riders Innings,272,22,7,20,1,1,win
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,Delhi Capitals Innings,166,16,1,1,7,20,lost
Narendra Modi Stadium,lost,Gujarat Titans Innings,199,9,4,20,7,19,lost
Narendra Modi Stadium,win,Punjab Kings Innings,200,13,7,19,4,20,win
Rajiv Gandhi International Stadium,lost,Chennai Super Kings Innings,165,2,5,20,4,18,lost
Rajiv Gandhi International Stadium,win,Sunrisers Hyderabad Innings,166,6,4,18,5,20,win
Sawai Mansingh Stadium,lost,Royal Challengers Bengaluru Innings,183,11,3,20,4,19,lost
Sawai Mansingh Stadium,win,Rajasthan Royals Innings,189,3,4,19,3,20,win
Wankhede Stadium,lost,Mumbai Indians Innings,234,14,5,20,8,20,win
Wankhede Stadium,win,Delhi Capitals Innings,205,3,8,20,5,20,lost
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,win,Lucknow Super Giants Innings,163,5,5,20,1,1,win
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,lost,Gujarat Titans Innings,130,12,1,1,5,20,lost
MA Chidambaram Stadium,lost,Kolkata Knight Riders Innings,137,13,9,20,3,17,lost
MA Chidambaram Stadium,win,Chennai Super Kings Innings,141,5,3,17,9,20,win
Maharaja Yadavindra Singh International Cricket Stadium,lost,Sunrisers Hyderabad Innings,182,7,9,20,6,20,win
Maharaja Yadavindra Singh International Cricket Stadium,win,Punjab Kings Innings,180,7,6,20,9,20,lost
Sawai Mansingh Stadium,lost,Rajasthan Royals Innings,196,7,3,20,7,20,lost
Sawai Mansingh Stadium,win,Gujarat Titans Innings,199,11,7,20,3,20,win
Wankhede Stadium,lost,Royal Challengers Bengaluru Innings,196,10,8,20,3,15,lost
Wankhede Stadium,win,Mumbai Indians Innings,199,3,3,15,8,20,win
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,win,Lucknow Super Giants Innings,167,10,7,20,4,18,lost
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,lost,Delhi Capitals Innings,170,8,4,18,7,20,win
Maharaja Yadavindra Singh International Cricket Stadium,lost,Punjab Kings Innings,147,8,8,20,7,19,lost
Maharaja Yadavindra Singh International Cricket Stadium,win,Rajasthan Royals Innings,152,3,7,19,8,20,win
Eden Gardens,lost,Lucknow Super Giants Innings,161,8,7,20,2,15,lost
Eden Gardens,win,Kolkata Knight Riders Innings,162,22,2,15,7,20,win
Wankhede Stadium,lost,Chennai Super Kings Innings,206,8,4,20,6,20,win
Wankhede Stadium,win,Mumbai Indians Innings,186,7,6,20,4,20,lost
M.Chinnaswamy Stadium,lost,Sunrisers Hyderabad Innings,287,15,3,20,7,20,win
M.Chinnaswamy Stadium,win,Royal Challengers Bengaluru Innings,262,14,7,20,3,20,lost
Eden Gardens,lost,Kolkata Knight Riders Innings,223,21,6,20,8,20,lost
Eden Gardens,win,Rajasthan Royals Innings,224,16,8,20,6,20,win
Narendra Modi Stadium,lost,Gujarat Titans Innings,89,12,1,1,4,8,lost
Narendra Modi Stadium,win,Delhi Capitals Innings,92,6,4,8,1,1,win
Maharaja Yadavindra Singh International Cricket Stadium,lost,Mumbai Indians Innings,192,11,7,20,1,1,win
Maharaja Yadavindra Singh International Cricket Stadium,win,Punjab Kings Innings,183,21,1,1,7,20,lost
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,lost,Chennai Super Kings Innings,176,4,6,20,2,19,lost
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,win,Lucknow Super Giants Innings,180,13,2,19,6,20,win
Arun Jaitley Stadium,lost,Sunrisers Hyderabad Innings,266,5,7,20,1,1,win
Arun Jaitley Stadium,win,Delhi Capitals Innings,199,8,1,1,7,20,lost
Eden Gardens,lost,Kolkata Knight Riders Innings,222,20,6,20,1,2,win
Eden Gardens,win,Royal Challengers Bengaluru Innings,221,9,1,2,6,20,lost
Maharaja Yadavindra Singh International Cricket Stadium,win,Punjab Kings Innings,142,4,1,2,7,19,lost
Maharaja Yadavindra Singh International Cricket Stadium,lost,Gujarat Titans Innings,146,3,7,19,1,2,win
Sawai Mansingh Stadium,win,Mumbai Indians Innings,179,10,9,20,1,18,lost
Sawai Mansingh Stadium,lost,Rajasthan Royals Innings,183,6,1,18,9,20,win
MA Chidambaram Stadium,lost,Chennai Super Kings Innings,210,4,4,20,4,19,lost
